#,dist(asec),prob_member,link_ref,link_comment,identifier,typ,coord1_(ICRS_J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,#bib,#not,RA,Dec
55,249.16,100,2008ApJ...682.1217K,B,2MASS J19532925+1845584,RG*,19 53 29.256 +18 45 58.48,~,14.17,13.01,~,11.77,~,2,0,298.371899999,18.7662444444
56,83.73,80,2010A&A...513A..16H,S,[HBE2010] s27a,XB?,19 53 51.48 +18 46 00.5,16.06,15.15,17.42,~,13.70,~,2,0,298.464499999,18.7668055555
57,160.87,91,2008A&A...486..941A,B,Cl* NGC 6838 KC 141,*iC,19 53 36.4 +18 45 32,~,16.57,15.34,~,~,~,4,0,298.401666666,18.7588888888
58,84.22,100,2008ApJ...682.1217K,B,2MASS J19534817+1845243,RG*,19 53 48.173 +18 45 24.34,~,15.01,14.08,~,13.05,~,2,0,298.450720833,18.7567611111
59,74.25,100,2009A&A...505..117C,B,2MASS J19535018+1845525,RG*,19 53 50.186 +18 45 52.58,~,16.023,14.914,~,~,~,7,0,298.459108333,18.7646055555
60,75.68,80,2010A&A...513A..16H,S,[HBE2010] s01,XB?,19 53 41.45 +18 47 09.7,~,~,~,~,19.94,~,1,0,298.422708333,18.7860277777
61,313.86,100,2009MNRAS.393..272W,B,2MASS J19533964+1841466,RG*,19 53 39.649 +18 41 46.66,~,~,~,~,~,~,3,0,298.415204166,18.6962944444
62,190.71,100,2008ApJ...682.1217K,B,[KGS2008] J195357.6+184458,RG*,19 53 57.6 +18 44 58,~,14.65,13.74,~,12.70,~,1,0,298.489999999,18.7494444444
63,165.87,100,2001A&A...373..159C,B,2MASS J19533747+1844596,RG*,19 53 37.474 +18 44 59.67,~,14.69,13.10,~,~,G...,38,0,298.406141666,18.7499083333
64,143.54,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1716,*iC,19 53 55.8 +18 47 41,~,~,~,~,~,~,1,0,298.482499999,18.7947222222
65,60.76,50,2010A&A...513A..16H,S,[HBE2010] s25,X,19 53 50.71 +18 46 55.1,~,~,~,~,23.3,~,1,0,298.461291666,18.7819722222
66,103.46,100,2001A&A...373..159C,B,NGC 6838 1056,*iC,19 53 48.286 +18 48 25.37,~,14.62,13.25,~,~,~,13,0,298.451191666,18.8070472222
67,79.6,100,2009A&A...505..117C,B,2MASS J19534186+1846001,RG*,19 53 41.862 +18 46 00.20,~,16.036,14.906,~,~,~,1,0,298.424425,18.7667222222
68,295.32,100,2009MNRAS.393..272W,B,2MASS J19534463+1851392,RG*,19 53 44.634 +18 51 39.24,~,15.497,14.257,~,~,G9III,5,0,298.435975,18.8609
69,131.56,100,2011AJ....141...89S,B,2MASS J19534178+1848384,RG*,19 53 41.788 +18 48 38.46,~,15.9,14.59,~,~,G...,18,0,298.424116666,18.8106833333
70,350.13,0,2009MNRAS.393..272W,B,2MASS J19532504+1849379,*,19 53 25.046 +18 49 37.95,~,~,~,~,~,~,1,0,298.354358333,18.8272083333
71,136.05,94,2008A&A...486..941A,B,Cl* NGC 6838 KC 202,*iC,19 53 50.6 +18 48 48,~,16.29,15.17,~,~,~,4,0,298.460833333,18.8133333333
72,1.21,100,2009A&A...505..117C,B,2MASS J19534643+1846459,RG*,19 53 46.432 +18 46 45.99,~,16.043,14.924,~,~,~,2,0,298.443466666,18.7794416666
73,157.25,92,2008A&A...486..941A,B,Cl* NGC 6838 KC 170,*iC,19 53 56.1 +18 45 27,~,16.71,15.57,~,~,~,4,0,298.483749999,18.7575
74,60.89,100,2008ApJ...682.1217K,B,2MASS J19534227+1846563,RG*,19 53 42.276 +18 46 56.34,~,14.97,14.04,~,13.00,~,4,0,298.426149999,18.7823166666
