#,dist(asec),prob_member,link_ref,link_comment,identifier,typ,coord1_(ICRS_J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,#bib,#not,RA,Dec
308,60.89,100,2009A&A...505..117C,B,2MASS J19534227+1846563,RG*,19 53 42.276 +18 46 56.34,~,14.97,14.04,~,13.00,~,4,0,298.426149999,18.7823166666
309,75.54,50,2010A&A...513A..16H,S,[HBE2010] s14b,?,19 53 47.45 +18 47 59.4,~,~,~,~,28,~,1,0,298.447708333,18.7998333333
310,136.83,100,2008ApJ...682.1217K,B,2MASS J19533717+1847201,RG*,19 53 37.177 +18 47 20.19,~,13.29,12.01,~,10.70,~,19,0,298.404904166,18.7889416666
311,154.14,95,2008A&A...486..941A,B,2MASS J19535064+1849075,RG*,19 53 50.641 +18 49 07.52,~,14.58,12.97,~,~,G...,34,0,298.461004166,18.8187555555
312,355.84,100,2008ApJ...682.1217K,B,2MASS J19541151+1846275,RG*,19 54 11.516 +18 46 27.58,~,14.71,13.69,~,12.66,~,2,0,298.547983333,18.7743277777
313,131.85,~,2008A&A...486..941A,B,2MASS J19535534+1847247,RG*,19 53 55.345 +18 47 24.73,~,15.997,14.893,~,~,~,2,0,298.480604166,18.7902027777
314,101.66,~,2008A&A...486..941A,B,Cl* NGC 6838 KC 336,*iC,19 53 52.0 +18 47 50,~,~,15.97,~,~,~,2,0,298.466666666,18.7972222222
315,120.91,83,2008A&A...486..941A,B,Cl* NGC 6838 ASC 206,*iC,19 53 38.0 +18 46 36,~,17.7,16.83,~,~,~,1,0,298.408333333,18.7766666666
316,267.79,100,2008ApJ...682.1217K,B,[KGS2008] J195405.3+184704,RG*,19 54 05.3 +18 47 04,~,14.49,13.65,~,12.73,~,1,0,298.522083333,18.7844444444
317,13.41,100,2009A&A...505..139C,B,2MASS J19534721+1846537,RG*,19 53 47.211 +18 46 53.76,~,14.610,13.131,~,~,~,14,0,298.4467125,18.7815999999
318,372.02,100,2011AJ....141...89S,B,2MASS J19532580+1850334,RG*,19 53 25.805 +18 50 33.44,~,~,~,~,~,~,2,0,298.357520833,18.8426222222
319,295.32,100,2013AJ....146..133M,B,2MASS J19534463+1851392,RG*,19 53 44.634 +18 51 39.24,~,15.497,14.257,~,~,G9III,5,0,298.435975,18.8609
320,154.14,100,2009MNRAS.393..272W,B,2MASS J19535064+1849075,RG*,19 53 50.641 +18 49 07.52,~,14.58,12.97,~,~,G...,34,0,298.461004166,18.8187555555
321,65.44,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 3915,*iC,19 53 42.2 +18 47 09,~,~,~,~,~,~,1,0,298.425833333,18.7858333333
322,262.72,100,2011AJ....141...89S,B,[SLB2011b] 298.51727+18.80103,*,19 54 04.144 +18 48 03.66,~,~,~,~,~,~,1,0,298.517266666,18.8010166666
323,117.43,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 7505,*iC,19 53 52.8 +18 48 01,~,~,~,~,~,~,1,0,298.469999999,18.8002777777
324,86.97,96,2008A&A...486..941A,B,2MASS J19534103+1846056,AB*,19 53 41.034 +18 46 05.60,~,14.63,13.39,~,~,A...,23,0,298.420974999,18.7682222222
325,59.88,80,2010A&A...513A..16H,S,[HBE2010] s04,XB?,19 53 43.86 +18 45 58.3,~,~,~,~,16.01,~,1,0,298.432749999,18.7661944444
326,116.58,97,2008A&A...486..941A,B,Cl* NGC 6838 ASC 613,*iC,19 53 54.3 +18 47 21,~,18.46,17.57,~,~,~,1,0,298.476249999,18.7891666666
327,74.83,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1081,*iC,19 53 41.3 +18 46 58,~,~,~,~,~,~,1,0,298.422083333,18.7827777777
328,131.16,100,2008ApJ...682.1217K,B,2MASS J19535419+1845327,RG*,19 53 54.192 +18 45 32.72,~,15.83,14.60,~,12.71,~,19,0,298.4758,18.7590888888
329,31.62,95,2008A&A...486..941A,B,Cl* NGC 6838 ASC 452,*iC,19 53 47.509 +18 46 16.99,~,14.51,13.02,~,~,~,35,0,298.447954166,18.7713861111
330,398.58,100,2008ApJ...682.1217K,B,[KGS2008] J195414.5+184620,RG*,19 54 14.5 +18 46 20,~,13.67,12.47,~,11.19,~,1,0,298.560416666,18.7722222222
331,133.88,100,2009A&A...505..139C,B,2MASS J19533757+1847286,RG*,19 53 37.574 +18 47 28.60,~,14.447,12.762,~,~,~,32,0,298.406558333,18.7912777777
332,160.59,0,2008A&A...486..941A,B,Cl* NGC 6838 KC 303,*iC,19 53 35.3 +18 46 22,~,16.82,16.01,~,~,~,2,0,298.397083333,18.7727777777
333,147.18,60,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1214,*iC,19 53 53.9 +18 48 28,~,19.91,19.00,~,~,~,1,0,298.474583333,18.8077777777
334,155.08,100,2008ApJ...682.1217K,B,[KGS2008] J195356.8+184554,RG*,19 53 56.8 +18 45 54,~,14.47,13.67,~,12.73,~,1,0,298.486666666,18.765
335,49.8,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1486,*iC,19 53 43.0 +18 46 50,~,~,~,~,~,~,1,0,298.429166666,18.7805555555
336,14.62,95,2008A&A...486..941A,B,Cl* NGC 6838 ASC 399,*iC,19 53 45.510 +18 46 49.57,~,15.08,13.76,~,~,~,8,0,298.439625,18.7804361111
337,38.46,100,2009A&A...505..117C,B,2MASS J19534916+1846512,RG*,19 53 49.164 +18 46 51.22,~,14.997,13.709,~,~,~,1,0,298.454849999,18.7808944444
338,88.82,80,2010A&A...513A..16H,S,[HBE2010] s28b,XB?,19 53 52.71 +18 46 35.8,~,~,~,~,19.28,~,1,0,298.469624999,18.7766111111
339,491.23,100,2011AJ....141...89S,B,[SLB2011b] 298.56809+18.84816,*,19 54 16.345 +18 50 53.31,~,~,~,~,~,~,1,0,298.568104166,18.8481416666
340,62.38,100,2008ApJ...682.1217K,B,2MASS J19534373+1847336,RG*,19 53 43.732 +18 47 33.65,~,13.95,12.76,17.000,11.51,G...,25,0,298.432216666,18.7926805555
341,107.58,80,2008A&A...486..941A,B,Cl* NGC 6838 ASC 232,*iC,19 53 39.0 +18 46 29,~,17.9,16.86,~,~,~,4,0,298.412499999,18.7747222222
342,136.28,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 7453,*iC,19 53 52.7 +18 48 29,~,~,~,~,~,~,1,0,298.469583333,18.8080555555
343,137.62,100,2008ApJ...682.1217K,B,[KGS2008] J195336.8+184646,RG*,19 53 36.8 +18 46 46,~,15.50,14.64,~,13.69,~,1,0,298.403333333,18.7794444444
344,138.78,100,2009A&A...505..117C,B,2MASS J19535236+1844542,RG*,19 53 52.366 +18 44 54.22,~,15.309,14.130,~,~,~,11,0,298.468191666,18.7483944444
